City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Ternate,ID,79.3,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
644,Pizarro,CO,80.89,light rain,4.9533,-77.366,Hotel Limonar
645,Lorengau,PG,80.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
647,Banes,CU,85.66,scattered clouds,20.9625,-75.7186,Hostal Iván y yailet
649,Banda Aceh,ID,80.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
652,Kolaras,IN,88.11,overcast clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
654,Methoni,GR,87.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
657,Casa Nova,BR,81.82,overcast clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
658,Cattolica,IT,83.88,few clouds,43.9575,12.7376,Hotel Antares
659,Emmett,US,81.21,clear sky,43.8735,-116.4993,Holiday Motel & R.V Park
663,Dawei,MM,78.37,overcast clouds,14.0833,98.2,Hotel Dawei
664,Huai Thalaeng,TH,79.92,heavy intensity rain,14.997,102.6475,รีสอร์ทฟิวแอนทิว
668,Bara,NG,85.12,light rain,10.3744,10.7288,
669,Ewo,CG,87.33,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
670,Maryville,US,80.74,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
673,Pijijiapan,MX,87.84,overcast clouds,15.7011,-93.23,Hotel Rosita
674,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
677,Sacramento,US,76.87,clear sky,38.4666,-121.3177,Manda’s House oly 100 sqft
682,Abu Zabad,SD,77.0,light rain,12.35,29.25,حامد محمد نور
683,Arani,IN,80.89,overcast clouds,12.6667,79.2833,KPK LODGE
684,Mitsamiouli,KM,76.75,few clouds,-11.3847,43.2844,Foyer ADM
686,Jiuquan,CN,75.54,clear sky,39.7432,98.5174,Jiuquan Hotel
687,Calatayud,ES,79.72,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
